,election.year.calendar,position.label,province.name,province.code,Mujer,Varón,n/d
194,1999,Gobernador/a,LA PAMPA,10,0.0,100.0,0.0
195,1999,Gobernador/a,LA RIOJA,11,0.0,100.0,0.0
196,1999,Gobernador/a,MENDOZA,12,20.0,80.0,0.0
197,1999,Gobernador/a,MISIONES,13,0.0,100.0,0.0
198,1999,Gobernador/a,NEUQUEN,14,28.57142857142857,71.42857142857143,0.0
199,1999,Gobernador/a,RIO NEGRO,15,0.0,100.0,0.0
200,1999,Gobernador/a,SALTA,16,0.0,100.0,0.0
201,1999,Gobernador/a,SAN JUAN,17,0.0,100.0,0.0
202,1999,Gobernador/a,SAN LUIS,18,0.0,100.0,0.0
203,1999,Gobernador/a,SANTA CRUZ,19,0.0,100.0,0.0
204,1999,Gobernador/a,SANTA FE,20,11.11111111111111,88.88888888888889,0.0
205,1999,Gobernador/a,SANTIAGO DEL ESTERO,21,0.0,100.0,0.0
206,1999,Gobernador/a,TIERRA DEL FUEGO,22,25.0,75.0,0.0
207,1999,Gobernador/a,TUCUMAN,23,0.0,100.0,3.0
208,1999,Vicebogernador/a,BUENOS AIRES,1,25.0,75.0,0.0
209,1999,Vicebogernador/a,CATAMARCA,2,14.285714285714285,85.71428571428571,0.0
210,1999,Vicebogernador/a,CHACO,3,33.33333333333333,66.66666666666666,0.0
211,1999,Vicebogernador/a,CHUBUT,4,25.0,75.0,0.0
212,1999,Vicebogernador/a,CORDOBA,5,44.44444444444444,55.55555555555556,0.0
213,1999,Vicebogernador/a,ENTRE RIOS,7,33.33333333333333,66.66666666666666,0.0
214,1999,Vicebogernador/a,FORMOSA,8,16.666666666666664,83.33333333333334,0.0
215,1999,Vicebogernador/a,JUJUY,9,0.0,100.0,0.0
216,1999,Vicebogernador/a,LA PAMPA,10,33.33333333333333,66.66666666666666,0.0
217,1999,Vicebogernador/a,LA RIOJA,11,0.0,100.0,0.0
218,1999,Vicebogernador/a,MENDOZA,12,20.0,80.0,0.0
219,1999,Vicebogernador/a,MISIONES,13,66.66666666666666,33.33333333333333,0.0
220,1999,Vicebogernador/a,NEUQUEN,14,28.57142857142857,71.42857142857143,0.0
221,1999,Vicebogernador/a,RIO NEGRO,15,25.0,75.0,0.0
222,1999,Vicebogernador/a,SALTA,16,20.0,80.0,0.0
223,1999,Vicebogernador/a,SAN JUAN,17,0.0,100.0,0.0
224,1999,Vicebogernador/a,SAN LUIS,18,50.0,50.0,1.0
225,1999,Vicebogernador/a,SANTA CRUZ,19,50.0,50.0,1.0
226,1999,Vicebogernador/a,SANTA FE,20,11.11111111111111,88.88888888888889,0.0
227,1999,Vicebogernador/a,SANTIAGO DEL ESTERO,21,20.0,80.0,0.0
228,1999,Vicebogernador/a,TIERRA DEL FUEGO,22,0.0,100.0,0.0
229,1999,Vicebogernador/a,TUCUMAN,23,0.0,100.0,4.0
230,2000,Gobernador/a,CABA,24,46.15384615384615,53.84615384615385,0.0
231,2000,Vicebogernador/a,CABA,24,15.384615384615385,84.61538461538461,0.0
232,2001,Gobernador/a,CORRIENTES,6,16.666666666666664,83.33333333333334,0.0
233,2001,Vicebogernador/a,CORRIENTES,6,16.666666666666664,83.33333333333334,0.0
234,2002,Gobernador/a,SANTIAGO DEL ESTERO,21,0.0,100.0,0.0
235,2002,Vicebogernador/a,SANTIAGO DEL ESTERO,21,66.66666666666666,33.33333333333333,0.0
236,2003,Gobernador/a,BUENOS AIRES,1,11.11111111111111,88.88888888888889,0.0
237,2003,Gobernador/a,CABA,24,33.33333333333333,66.66666666666666,0.0
238,2003,Gobernador/a,CATAMARCA,2,28.57142857142857,71.42857142857143,0.0
239,2003,Gobernador/a,CHACO,3,0.0,100.0,0.0
240,2003,Gobernador/a,CHUBUT,4,0.0,100.0,0.0
241,2003,Gobernador/a,CORDOBA,5,22.22222222222222,77.77777777777779,0.0
242,2003,Gobernador/a,ENTRE RIOS,7,0.0,100.0,0.0
243,2003,Gobernador/a,FORMOSA,8,0.0,100.0,0.0
244,2003,Gobernador/a,JUJUY,9,11.11111111111111,88.88888888888889,0.0
245,2003,Gobernador/a,LA PAMPA,10,0.0,100.0,0.0
246,2003,Gobernador/a,LA RIOJA,11,0.0,100.0,0.0
247,2003,Gobernador/a,MENDOZA,12,8.333333333333332,91.66666666666666,0.0
248,2003,Gobernador/a,MISIONES,13,0.0,100.0,0.0
249,2003,Gobernador/a,NEUQUEN,14,0.0,100.0,0.0
250,2003,Gobernador/a,RIO NEGRO,15,0.0,100.0,0.0
251,2003,Gobernador/a,SALTA,16,14.285714285714285,85.71428571428571,0.0
252,2003,Gobernador/a,SAN JUAN,17,12.5,87.5,0.0
253,2003,Gobernador/a,SAN LUIS,18,0.0,100.0,0.0
254,2003,Gobernador/a,SANTA CRUZ,19,0.0,100.0,0.0
255,2003,Gobernador/a,SANTA FE,20,15.384615384615385,84.61538461538461,0.0
256,2003,Gobernador/a,TIERRA DEL FUEGO,22,25.0,75.0,0.0
257,2003,Gobernador/a,TUCUMAN,23,0.0,100.0,0.0
258,2003,Vicebogernador/a,BUENOS AIRES,1,38.88888888888889,61.111111111111114,0.0
259,2003,Vicebogernador/a,CABA,24,0.0,100.0,0.0
260,2003,Vicebogernador/a,CATAMARCA,2,42.857142857142854,57.14285714285714,0.0
261,2003,Vicebogernador/a,CHACO,3,14.285714285714285,85.71428571428571,0.0
262,2003,Vicebogernador/a,CHUBUT,4,28.57142857142857,71.42857142857143,0.0
263,2003,Vicebogernador/a,CORDOBA,5,11.11111111111111,88.88888888888889,0.0
264,2003,Vicebogernador/a,ENTRE RIOS,7,28.57142857142857,71.42857142857143,0.0
265,2003,Vicebogernador/a,FORMOSA,8,12.5,87.5,0.0
266,2003,Vicebogernador/a,JUJUY,9,11.11111111111111,88.88888888888889,0.0
267,2003,Vicebogernador/a,LA PAMPA,10,28.57142857142857,71.42857142857143,0.0
268,2003,Vicebogernador/a,LA RIOJA,11,16.666666666666664,83.33333333333334,0.0
269,2003,Vicebogernador/a,MENDOZA,12,33.33333333333333,66.66666666666666,0.0
270,2003,Vicebogernador/a,MISIONES,13,42.857142857142854,57.14285714285714,0.0
271,2003,Vicebogernador/a,NEUQUEN,14,30.0,70.0,0.0
272,2003,Vicebogernador/a,RIO NEGRO,15,22.22222222222222,77.77777777777779,0.0
273,2003,Vicebogernador/a,SALTA,16,28.57142857142857,71.42857142857143,0.0
274,2003,Vicebogernador/a,SAN JUAN,17,25.0,75.0,0.0
275,2003,Vicebogernador/a,SAN LUIS,18,50.0,50.0,0.0
276,2003,Vicebogernador/a,SANTA CRUZ,19,33.33333333333333,66.66666666666666,0.0
277,2003,Vicebogernador/a,SANTA FE,20,15.384615384615385,84.61538461538461,0.0
278,2003,Vicebogernador/a,TIERRA DEL FUEGO,22,37.5,62.5,0.0
279,2003,Vicebogernador/a,TUCUMAN,23,12.5,87.5,0.0
280,2005,Gobernador/a,CORRIENTES,6,20.0,80.0,0.0
281,2005,Gobernador/a,SANTIAGO DEL ESTERO,21,30.0,70.0,0.0
282,2005,Vicebogernador/a,CORRIENTES,6,20.0,80.0,0.0
283,2005,Vicebogernador/a,SANTIAGO DEL ESTERO,21,20.0,80.0,0.0
284,2007,Gobernador/a,BUENOS AIRES,1,12.5,87.5,0.0
285,2007,Gobernador/a,CABA,24,16.666666666666664,83.33333333333334,0.0
286,2007,Gobernador/a,CATAMARCA,2,16.666666666666664,83.33333333333334,0.0
287,2007,Gobernador/a,CHACO,3,25.0,75.0,0.0
288,2007,Gobernador/a,CHUBUT,4,0.0,100.0,0.0
289,2007,Gobernador/a,CORDOBA,5,33.33333333333333,66.66666666666666,0.0
290,2007,Gobernador/a,ENTRE RIOS,7,12.5,87.5,0.0
291,2007,Gobernador/a,FORMOSA,8,14.285714285714285,85.71428571428571,0.0
292,2007,Gobernador/a,JUJUY,9,22.22222222222222,77.77777777777779,0.0
293,2007,Gobernador/a,LA PAMPA,10,14.285714285714285,85.71428571428571,0.0
294,2007,Gobernador/a,LA RIOJA,11,14.285714285714285,85.71428571428571,0.0
295,2007,Gobernador/a,MENDOZA,12,23.076923076923077,76.92307692307693,0.0
296,2007,Gobernador/a,MISIONES,13,0.0,100.0,0.0
297,2007,Gobernador/a,NEUQUEN,14,37.5,62.5,0.0
298,2007,Gobernador/a,RIO NEGRO,15,25.0,75.0,0.0
299,2007,Gobernador/a,SALTA,16,10.0,90.0,0.0
300,2007,Gobernador/a,SAN JUAN,17,11.11111111111111,88.88888888888889,0.0
301,2007,Gobernador/a,SAN LUIS,18,0.0,100.0,0.0
302,2007,Gobernador/a,SANTA CRUZ,19,0.0,100.0,0.0
303,2007,Gobernador/a,SANTA FE,20,18.181818181818183,81.81818181818183,0.0
304,2007,Gobernador/a,TIERRA DEL FUEGO,22,33.33333333333333,66.66666666666666,0.0
305,2007,Gobernador/a,TUCUMAN,23,7.6923076923076925,92.3076923076923,0.0
306,2007,Vicebogernador/a,BUENOS AIRES,1,18.75,81.25,0.0
307,2007,Vicebogernador/a,CABA,24,38.88888888888889,61.111111111111114,0.0
308,2007,Vicebogernador/a,CATAMARCA,2,50.0,50.0,0.0
